item_number,text,relevant,category
22,"I’ve order a trouser in AJIO app due to size issues Ives exchanged it and got some other colour and to make a rerun request they’ve asked multiple times to upload full image with brand tag, even after I’ve uploaded multiple times the pickup was really slow, they asked me to upload proper photo but they don’t have any records of the product by seller while packing? And after some many days of requesting return they picked the product but there is no refund yet, it’s been 15 days since all this procedure has done but didn’t got refund yet, and there’s no proper service from the customer care, they only respond if u raise a compliant and they’ll call you multiple time to close the complaint window even before the complaint resolved now my complaint window got closed, the computerised call is telling to press 1234 I couldn’t talk to a agent about but refund 


Even the collection is not the good neither the price and better not shop in the AJIO",,
23,"low price, better quality.",,
24,found really good deals please make ajio priority as well before buying from any platform,,
25,The desired size was unavailable so had to buy a smaller size,,
26,Excellent Good service. I loved it. Quality product at reasonable prices. Delivery at promised date. I just wanna know... Is there any possibility that any product once out of stock will come back in stock in few days or its gone completely?? I had put few tshirts in closets which went out of stock during placing order 😭,,
27,"Very soft material, good for body during summers unlike knitted T Shirts with matty finish. Was searching for such material for long time as majority products under T shirt category are matty finish and it’s unbearable to skin in summers.",,
28,"Remember that when there is no user reviews in this app there is no trust and no proper way to search for a item ,people cannot purchase an item without reviews such as pros n cons i genuinely like the products and the quality you maintain but what is that lacking behind is this ,I hope the app gets such instalments and users can happily shop in nykaa",,
29,Nice colour . Only gonna suit in fair skin tone.,,
30,Love it but the only condition is that I just can't afford the price when I want to buy more than one or three items as it is I cannot get even a coupon discount for an actual price I want as my budget is very low. I am hesitant on that otherwise the quality of the product seem good to me. If only they can make special offer to me only once I can buy those things really.,,
31,I have ordered couple of heels none were comfortable and the rates were all above 1800/- per piece. Even clothes are expensive they are charging 100-200 extra for the same clothes we get in Myntra and Amazon 🙄,,
32,The articles being sold is so over priced. You will the same product from the same brand at a much lower price on other platforms.,,
33,"Everything is good. Would love to have one feature where the user gets a notification when the wishlist product comes back in stock. So if I have a shoe in wishlist which is oit of stock right now, I should get a notification when it's back in stock after sometime.",,
34,Before opening it show lowest price after clicking on that item it show more price. Why this happening I don’t due to this not interested to book the items. Fake,,
35,‘This product is too good but please buy one size above than recommended.,,
36,"I was looking for stylish handbag and wallet for my gf. However, neither I could find a stylish one nor they are affordable. Ultimately I downloaded Ajio app. And boy! What a fab collection they have... So far so good, at least the collection. Although I love to see review system as in flip kart and Amazon. Also I would give further feedback, once I receive the order items.",,
37,Only order if you tried that actually on shops. For buying and returning lots of additional fee is added,,
38,"""I ordered two 2-piece suits in Medium (M) size from Ajio. Due to sizing issues, I requested an exchange for Small (S) size for both. However, the delivery boy made a huge mistake—he handed over a completely different/wrong suit and took one of my exchange pieces.

Now, the delivery executives keep coming to my place daily, demanding the same suit that I have already handed over to them. How can I return the same piece when it was already collected due to their delivery boy's mistake?

My exchange is completely stuck because of Ajio's flawed logistics, and my problem is still unresolved. Their customer support is absolutely useless and fails to understand this clear mix-up. Highly disappointing experience! I wouldn’t recommend shopping from Ajio if you want peace of mind.""",,
39,"I absolutely love shopping on Myntra! The collection is huge, from trendy outfits to ethnic wear and even shoes, watches, and beauty. Delivery is usually fast, return/exchange is super easy, and the app interface is very smooth. The sale deals and Myntra coupons make it even better. Definitely my go-to fashion app!",,
40,"Writing Absolutely amazing shopping experience! Every product I have ordered from Myntra has been exactly as shown in the pictures, with excellent quality and perfect fitting. The delivery, packaging, and overall service have always been outstanding. If I had the option, I would gladly give 10 stars instead of 5. Highly recommended and my favorite shopping app. Keep up the excellent work, Myntra! shopping here and highly recommend it to my family and friends. ⭐⭐⭐⭐⭐ (10/10 from me!)",,
41,"i have ordered a jacket without concern about the actual size. As my shirts are L size, I pick an L size jacket. the jacket was loose. i just frustrated and looked for return and seen that there is an exchange option. it helps me to change the size without any problem. Thank you Ajio",,
42,"AJIO’s customer service has been extremely disappointing. Resolving even a basic issue feels unnecessarily complicated, and getting proper assistance from a customer-care executive is frustrating. The third-party delivery service used by AJIO is also a hassle, with poor coordination and an overall inconvenient experience. For a platform of this size, the customer support and delivery experience should be much more reliable and straightforward. Definitely not the experience I expected from AJIO.",,
43,very good product and less amount by compare retail store,,
44,"Good Price offers, but need to confirm with the quality once my product is delivered",,
45,How can something so good be available at such reasonable price. This app is amazing. I got my good quality stuff at prices so low. Ordered so much in a week. App has few bugs related to wishlist which needs to be optimized. Main thing - Prices.. I can't complain about anything now,,
46,"Very disappointed with my experience with the Nykaa Fashion app.

I understand if an order gets delayed by 2–4 days, but my order was delayed by almost 20 days and still remained in the “Confirmed” status without being shipped for a long time. Thankfully, I had chosen Cash on Delivery (COD). After this experience, I don’t think I can trust this app for prepaid orders.

When the order was finally delivered after nearly 20 days, the size didn’t fit, so I requested a return. It’s been 5+ days, and no one has come for the pickup.

Trying to contact customer support was even more frustrating. I waited on the customer care line for 10–15 minutes, but no one answered. The chat support is extremely slow—there is often a 10-minute gap between each reply, making it impossible to have a real conversation.

The most surprising part was their response regarding my return. They said there was a technical issue and they couldn’t arrange pickup from my address, asking me to provide another pickup location. This makes no sense. If they were able to deliver the order to my address, why can’t they pick it up from the same location?

Overall, the delivery, return process, and customer support have been extremely disappointing. I would not recommend Nykaa Fashion based on my experience",,
47,"Better than myntra in every aspect 1. Best coupon deals for almost every product unlike Myntra (where I could only get max 300 discount, AJIO gave me 799) 2. Best quality ( i was initially not sure about AJIO but my very first purchase was absolutely satisfying unlike Myntra where i had to return the clothes for their defects) 3.Best Brand Coverage, when it comes to clothing brands no one can compete with AJIO, great brands available on better deals. Trust me, Go for AJIO for your clothing.",,
