item_number,text,relevant,category
76,"Poor customer support from Myntra.I had ordered for a t shirt on 08.08.2026 and done the payment.Delivery date was showing 16 -18 Aug.The seller cancelled the order by themselves on 16th August citing some technical issues.Cancelletion after waiting for 8 days is unbearable.They were showing the status as packed from the second day itself.Eventhough I got the refund,how can we order things from myntra for a pre-planned function.",,
77,i got my order was too late iam so disappointed by their action i thought they will be on time and without my consent they itself changed the delivery Date but in app its showing like i changed the date,,
78,Thanks Ajio Best Application And Products !,,
79,Reasonable price and good quality products 🤗,,
80,"Very disappointing experience with Myntra. I ordered 5 Libas sarees at an offer price, and all 5 were confirmed and shipped. Later, Myntra automatically cancelled them citing a “technical issue”. I requested the same offer/price or compensation for the price difference, but no proper solution was provided. Cancelling shipped orders and refusing to honour the offer is unfair and feels like arbitrary handling of customer orders. Myntra should take responsibility and provide a genuine resolution.",,
81,this is very Useful,,
82,exprees delivery in 2 day but too costly,,
83,worst app. If you are placed order they will cancel the order.,,
84,"**“Really happy with the purchase! The quality is good, fitting is perfect, and the product looks exactly like the pictures. Definitely worth the price. Loved it! ❤️”**",,
85,"Very disappointing experience with Nikka. I ordered a combo containing 4 products plus 1 individual product, so I was supposed to receive 5 products in total. However, I received only 2 products. I contacted Nikka customer care multiple times. Every time, they told me that my refund/replacement request had been processed and that I would receive an update within 48 hours. But whenever I check the status on the app, it simply shows “Request Rejected.” I have already made 4 complaints and called",,
86,im makeup artist i like all products in nykaa,,
87,"I think who i wanted, I got it",,
88,It's was my second time through online fashion shopping and I am genuinely impressed with it.,,
89,I am not login in aap otp not come fix issue,,
90,good app for family reasons Shoping i m impressed 👍🏻❤️,,
